rule_id,rule_name,threshold,active
1,Rule_1,427,0
2,Rule_2,395,1
3,Rule_3,54,1
4,Rule_4,33,0
5,Rule_5,245,0
6,Rule_6,480,1
7,Rule_7,985,0
8,Rule_8,661,1
9,Rule_9,868,1
10,Rule_10,798,0
11,Rule_11,487,1
12,Rule_12,477,1
13,Rule_13,953,0
14,Rule_14,438,0
15,Rule_15,768,1
16,Rule_16,338,0
17,Rule_17,853,0
18,Rule_18,847,0
19,Rule_19,838,1
20,Rule_20,238,1
21,Rule_21,479,0
22,Rule_22,933,1
23,Rule_23,927,0
24,Rule_24,438,0
25,Rule_25,742,0
26,Rule_26,508,0
27,Rule_27,587,0
28,Rule_28,689,0
29,Rule_29,936,1
30,Rule_30,252,0
31,Rule_31,619,0
32,Rule_32,428,1
33,Rule_33,345,1
34,Rule_34,198,0
35,Rule_35,409,0
36,Rule_36,18,1
37,Rule_37,58,1
38,Rule_38,601,0
39,Rule_39,71,1
40,Rule_40,261,0
41,Rule_41,609,1
42,Rule_42,440,0
43,Rule_43,944,1
44,Rule_44,253,0
45,Rule_45,998,1
46,Rule_46,412,0
47,Rule_47,755,0
48,Rule_48,154,0
49,Rule_49,839,1
50,Rule_50,374,1
51,Rule_51,213,1
52,Rule_52,248,1
53,Rule_53,366,1
54,Rule_54,284,1
55,Rule_55,500,0
56,Rule_56,212,1
57,Rule_57,311,0
58,Rule_58,27,1
59,Rule_59,14,1
60,Rule_60,55,1
61,Rule_61,703,0
62,Rule_62,454,0
63,Rule_63,967,0
64,Rule_64,695,1
65,Rule_65,315,1
66,Rule_66,82,0
67,Rule_67,281,1
68,Rule_68,303,0
69,Rule_69,728,0
70,Rule_70,868,1
71,Rule_71,646,1
72,Rule_72,66,0
73,Rule_73,353,1
74,Rule_74,165,1
75,Rule_75,445,0
76,Rule_76,59,1
77,Rule_77,546,0
78,Rule_78,401,1
79,Rule_79,235,1
80,Rule_80,858,0
81,Rule_81,23,1
82,Rule_82,943,1
83,Rule_83,375,0
84,Rule_84,601,0
85,Rule_85,193,1
86,Rule_86,39,1
87,Rule_87,369,0
88,Rule_88,474,0
89,Rule_89,170,0
90,Rule_90,832,0
91,Rule_91,909,0
92,Rule_92,828,1
93,Rule_93,800,1
94,Rule_94,364,0
95,Rule_95,325,0
96,Rule_96,572,0
97,Rule_97,476,1
98,Rule_98,466,0
99,Rule_99,725,0
100,Rule_100,521,0
101,Rule_101,609,0
102,Rule_102,183,1
103,Rule_103,960,1
104,Rule_104,664,0
105,Rule_105,64,0
106,Rule_106,109,1
107,Rule_107,820,0
108,Rule_108,183,0
109,Rule_109,98,1
110,Rule_110,780,0
111,Rule_111,663,1
112,Rule_112,228,0
113,Rule_113,429,0
114,Rule_114,641,0
115,Rule_115,169,0
116,Rule_116,321,1
117,Rule_117,981,1
118,Rule_118,450,0
119,Rule_119,735,1
120,Rule_120,107,1
121,Rule_121,760,1
122,Rule_122,776,1
123,Rule_123,809,1
124,Rule_124,564,1
125,Rule_125,816,0
126,Rule_126,153,0
127,Rule_127,113,1
128,Rule_128,628,0
129,Rule_129,741,0
130,Rule_130,689,1
131,Rule_131,458,0
132,Rule_132,414,0
133,Rule_133,42,0
134,Rule_134,118,0
135,Rule_135,21,1
136,Rule_136,148,1
137,Rule_137,586,0
138,Rule_138,460,0
139,Rule_139,270,0
140,Rule_140,109,1
141,Rule_141,857,1
142,Rule_142,361,0
143,Rule_143,917,0
144,Rule_144,480,1
145,Rule_145,976,1
146,Rule_146,643,0
147,Rule_147,257,1
148,Rule_148,125,1
149,Rule_149,718,1
150,Rule_150,362,0
151,Rule_151,360,1
152,Rule_152,350,1
153,Rule_153,273,1
154,Rule_154,755,0
155,Rule_155,196,1
156,Rule_156,888,1
157,Rule_157,28,1
158,Rule_158,884,0
159,Rule_159,444,0
160,Rule_160,706,1
161,Rule_161,203,1
