transaction_id,user_id,account_id,method,merchant,location,device,ip_address,amount,fraud_probability,status,created_at
1,639,69,credit_card,Merchant_63,London,mobile,98.18.196.250,2573.41,0.26,completed,2025-09-16 05:22:53
2,239,773,bank_transfer,Merchant_25,London,tablet,239.227.131.39,1560.56,0.51,pending,2025-08-29 03:53:57
3,998,647,bank_transfer,Merchant_63,Online,desktop,234.70.79.247,3150.59,0.02,completed,2025-06-05 09:34:45
4,941,105,bank_transfer,Merchant_94,Online,tablet,251.23.206.17,371.25,0.69,completed,2026-04-19 13:32:15
5,575,1,debit_card,Merchant_10,New York,mobile,152.90.233.38,1923.03,0.57,pending,2025-07-26 07:03:22
6,188,496,bank_transfer,Merchant_28,Los Angeles,mobile,14.42.219.140,2872.57,0.67,completed,2025-03-07 21:55:57
7,591,42,bank_transfer,Merchant_8,Tokyo,mobile,220.85.115.97,3879.86,0.58,completed,2025-10-19 13:36:24
8,925,16,credit_card,Merchant_24,New York,desktop,25.193.174.127,2578.48,0.45,completed,2025-01-11 17:38:45
9,561,373,bank_transfer,Merchant_18,Los Angeles,mobile,231.19.131.173,4577.41,0.89,completed,2025-10-25 07:26:27
10,848,569,debit_card,Merchant_37,Los Angeles,mobile,207.64.237.228,1860.63,0.87,completed,2026-04-08 23:15:33
11,684,672,paypal,Merchant_95,New York,mobile,134.251.33.53,2777.9,0.53,failed,2025-08-25 12:07:20
12,585,786,debit_card,Merchant_80,Online,desktop,208.101.103.200,3840.28,0.86,completed,2025-09-01 04:54:03
13,864,94,credit_card,Merchant_14,New York,desktop,231.158.189.208,1555.25,0.06,completed,2025-12-18 06:53:26
14,299,532,debit_card,Merchant_4,Tokyo,desktop,12.175.19.231,2926.01,0.56,completed,2025-04-27 11:56:06
15,158,57,bank_transfer,Merchant_79,Online,desktop,33.226.167.199,3945.04,0.26,pending,2025-05-21 10:22:12
16,705,710,credit_card,Merchant_81,Tokyo,desktop,237.249.137.121,2062.14,0.38,completed,2025-10-28 05:35:48
17,308,120,bank_transfer,Merchant_6,London,desktop,71.101.129.28,4620.15,0.2,completed,2026-01-03 00:03:27
18,227,539,credit_card,Merchant_82,New York,desktop,147.34.177.224,2786.07,0.82,completed,2025-01-01 22:41:50
19,359,21,bank_transfer,Merchant_8,Los Angeles,desktop,43.255.218.194,3936.21,0.75,failed,2025-06-19 03:27:57
20,529,430,credit_card,Merchant_90,New York,desktop,147.82.6.151,2338.84,0.86,completed,2025-08-24 16:32:19
21,710,991,credit_card,Merchant_51,London,desktop,189.205.85.106,3833.82,0.55,completed,2025-08-21 02:02:31
22,516,815,credit_card,Merchant_27,New York,desktop,15.231.177.83,3899.37,0.93,pending,2025-10-12 23:08:31
23,869,592,paypal,Merchant_6,London,tablet,167.130.233.56,4975.99,0.44,completed,2026-04-13 04:49:31
24,832,510,credit_card,Merchant_44,New York,desktop,38.2.45.49,3123.24,0.78,completed,2025-01-02 08:46:05
25,589,662,bank_transfer,Merchant_92,New York,mobile,23.195.80.252,2882.09,0.82,completed,2025-10-28 04:22:06
26,863,109,bank_transfer,Merchant_41,Los Angeles,mobile,84.46.33.156,4157.63,0.41,completed,2025-09-21 08:53:13
27,120,358,paypal,Merchant_73,Los Angeles,tablet,32.253.191.201,301.43,0.92,completed,2025-04-06 12:09:49
28,438,881,credit_card,Merchant_3,Los Angeles,desktop,153.14.79.178,123.67,0.19,completed,2025-03-29 15:15:34
29,596,992,debit_card,Merchant_78,London,desktop,234.180.57.149,3787.4,0.87,completed,2025-09-24 23:21:54
30,560,906,debit_card,Merchant_91,Online,tablet,178.8.239.99,1246.86,0.54,completed,2026-01-13 03:14:10
31,402,254,credit_card,Merchant_22,Online,desktop,12.139.207.38,2898.21,0.45,completed,2025-10-30 11:43:13
32,399,70,bank_transfer,Merchant_91,Los Angeles,desktop,19.232.65.48,2317.29,0.31,completed,2026-02-21 18:43:17
33,648,759,paypal,Merchant_1,London,tablet,158.195.90.20,337.39,0.57,completed,2025-07-16 21:04:25
34,782,130,credit_card,Merchant_41,Online,desktop,90.121.132.103,732.3,0.72,completed,2025-04-10 13:20:57
35,745,4,debit_card,Merchant_51,New York,desktop,211.135.141.157,779.31,0.35,completed,2025-10-15 00:13:45
36,55,925,credit_card,Merchant_65,Tokyo,mobile,233.225.232.103,1664.68,0.44,completed,2026-02-15 23:08:13
37,492,747,bank_transfer,Merchant_54,New York,mobile,23.188.202.255,2178.49,0.39,failed,2025-11-28 22:54:40
38,978,325,paypal,Merchant_51,Tokyo,desktop,35.204.44.103,758.82,0.07,completed,2025-10-11 10:17:17
39,912,544,debit_card,Merchant_9,Los Angeles,mobile,109.77.126.208,3497.62,0.04,completed,2025-05-08 10:55:43
40,440,275,paypal,Merchant_57,New York,mobile,63.39.81.246,2318.25,0.89,completed,2025-04-11 19:33:04
41,814,6,debit_card,Merchant_9,London,desktop,68.195.118.29,1862.31,0.72,completed,2025-02-02 15:37:17
42,256,987,debit_card,Merchant_25,London,mobile,214.19.198.225,1869.79,0.47,completed,2025-04-11 12:06:04
43,528,580,debit_card,Merchant_96,Los Angeles,mobile,153.54.1.182,2631.24,0.84,completed,2025-03-22 08:13:00
44,248,166,debit_card,Merchant_34,Los Angeles,tablet,73.148.20.206,1231.75,0.49,completed,2025-10-26 22:28:39
45,761,262,paypal,Merchant_50,Los Angeles,mobile,242.173.78.164,800.22,0.91,completed,2025-10-19 22:36:27
46,657,784,debit_card,Merchant_17,London,tablet,185.223.54.31,188.74,0.27,pending,2025-01-15 02:15:09
47,330,293,paypal,Merchant_80,New York,mobile,156.80.204.219,4314.42,0.41,pending,2025-01-25 21:38:12
48,589,126,paypal,Merchant_43,Los Angeles,mobile,65.21.237.189,1864.95,0.72,completed,2025-04-26 01:55:35
49,990,991,paypal,Merchant_94,London,mobile,247.187.89.144,805.79,0.6,completed,2025-01-09 19:23:26
50,246,593,debit_card,Merchant_77,New York,desktop,41.20.27.41,295.66,0.56,completed,2025-12-04 07:20:49
51,407,988,bank_transfer,Merchant_81,Los Angeles,desktop,140.241.5.138,950.41,0.7,completed,2026-02-02 08:40:10
52,640,125,bank_transfer,Merchant_53,New York,desktop,12.115.227.254,4233.99,0.59,completed,2025-12-26 19:37:43
53,972,753,debit_card,Merchant_20,Online,desktop,197.195.191.114,901.43,0.01,completed,2026-01-16 07:17:32
54,891,776,credit_card,Merchant_18,London,tablet,205.158.107.127,2380.34,0.94,completed,2026-03-20 15:20:13
55,67,445,credit_card,Merchant_85,London,tablet,143.55.163.75,1266.47,0.25,completed,2025-08-31 16:54:49
56,376,801,paypal,Merchant_85,Tokyo,mobile,29.3.235.58,3440.4,0.36,completed,2025-11-02 08:33:35
57,746,610,paypal,Merchant_75,London,mobile,105.91.154.187,3562.17,0.09,completed,2025-04-17 06:36:56
58,647,279,bank_transfer,Merchant_10,Online,tablet,170.246.191.152,3669.1,0.46,completed,2026-02-15 11:20:09
59,349,876,paypal,Merchant_12,Tokyo,mobile,33.29.221.249,678.46,0.39,completed,2025-03-03 14:13:36
60,707,343,bank_transfer,Merchant_31,Online,desktop,246.244.16.125,1673.49,0.54,completed,2025-04-21 17:00:35
61,41,534,paypal,Merchant_37,Los Angeles,desktop,140.60.199.239,2040.2,0.09,completed,2025-11-02 13:22:55
